,视频标题,播放量,评论数量,发布时间,视频长度,弹幕数量,视频地址
0,【动画解读】没有计算机学位的如何自学编程并找到年薪百万工作？？,5958,22,2021-02-04 09:52:18,07:11,13,https://www.bilibili.com/video/BV1et4y1B7Yp
1,【3D打印】礼物坐等有缘人,4793,171,2021-02-01 11:03:20,00:54,18,https://www.bilibili.com/video/BV1WT4y1P7w2
2,学习编程的唯一方式【拳打苹果索尼脚踢特斯拉】,29154,51,2021-01-30 10:05:02,00:56,11,https://www.bilibili.com/video/BV1cz4y1D7in
3,耗时38小时为童鞋们准备“3D打印礼物”【邻居投诉｜反复失败｜猜对有奖】,9010,119,2021-01-28 16:05:08,00:51,12,https://www.bilibili.com/video/BV1kv411s7eW
4,【小甲鱼？】办公室的龟龟们,11616,118,2021-01-25 19:32:05,01:04,87,https://www.bilibili.com/video/BV1oN411d7XK
5,不同类型的程序员【请对号入座】,9727,43,2021-01-25 12:03:40,04:16,55,https://www.bilibili.com/video/BV13X4y1T7ko
6,小甲鱼的学习路【弹指一挥间·听懂掌声】,11833,479,2021-01-20 15:20:39,18:07,332,https://www.bilibili.com/video/BV18y4y1m7SZ
7,16岁小哥硬核将废弃iPhone7移植为Linux服务器【膜拜】,21769,103,2021-01-18 09:00:04,04:53,26,https://www.bilibili.com/video/BV1j54y1s7QH
8,2021给开发者的技术预测【未来已来？】,7442,18,2021-01-16 12:42:21,09:49,9,https://www.bilibili.com/video/BV18t4y1z78P
9,编程初学者的救赎【考古系列】,12061,96,2021-01-14 18:28:39,26:20,76,https://www.bilibili.com/video/BV1LT4y1K7pn
10,修复垃圾填埋场销毁旧 lphone12ProMax【万物皆可洗】,11075,72,2021-01-13 11:46:00,25:21,108,https://www.bilibili.com/video/BV1DV411t7ES
11,2021年 10 大热门编程语言推荐,31769,192,2021-01-10 09:30:17,07:53,99,https://www.bilibili.com/video/BV1U54y1W7y5
12,在VSCode搭建C/C++环境【秒杀Visual C++/Dev C++],50884,263,2021-01-02 12:19:04,09:09,56,https://www.bilibili.com/video/BV1nt4y1r7Ez
13,荣誉勋章有鱼C也有你们的一半【恭喜最后的3位锦鲤鱼油！！】,3513,16,2021-01-01 16:39:52,00:53,7,https://www.bilibili.com/video/BV1xo4y1Z7yY
14,在VSCode搭建Python环境【秒杀Pycharm？】,36071,117,2020-12-30 16:05:18,22:41,38,https://www.bilibili.com/video/BV1yv41147rE
15,这就是日常开发？？【威胁性常规||侮辱性极高】,23820,24,2020-12-29 15:32:22,00:53,23,https://www.bilibili.com/video/BV1yh411f7gb
16,一款带你脱单的 VSCode 的插件,31820,188,2020-12-22 09:55:09,17:03,208,https://www.bilibili.com/video/BV1HK411G7iU
17,66把锁打造最便宜的“区块链”门禁？,17885,66,2020-12-19 15:46:29,00:11,7,https://www.bilibili.com/video/BV1F5411V7CL
18,100秒了解TypeScript【通俗易懂】,5545,38,2020-12-16 15:05:11,02:35,6,https://www.bilibili.com/video/BV1DZ4y1g7H2
19,5分钟学习JavaScript【2020版-图解】,20367,36,2020-12-03 10:00:07,05:36,11,https://www.bilibili.com/video/BV1NK4y177yU
20,计算机如何读懂你写的程序？？【01000101000101】,18972,45,2020-11-26 10:24:55,12:08,65,https://www.bilibili.com/video/BV1BK411V7SW
21,【字幕组颈椎病十级患者强烈推荐】人体工程学家教你如何设置办公桌,12359,24,2020-11-19 11:04:10,03:39,13,https://www.bilibili.com/video/BV1KD4y1X7cM
22,原来不止昙花会一现✧(≖ ◡ ≖✿),607688,543,2020-11-16 14:17:29,00:31,7025,https://www.bilibili.com/video/BV1Va4y1x7aK
23,Windows XP著名桌面20后大揭秘【结 局 唏 嘘...】,42182,73,2020-11-04 09:08:43,01:21,37,https://www.bilibili.com/video/BV1kz4y1C7Qp
24,Linus：没有比 C 更好的编程语言【Linux 创始人亲述】,93975,308,2020-10-30 13:13:30,01:44,86,https://www.bilibili.com/video/BV1XA411L72R
25,【自动驾驶原型】基于OpenCV和Python实现自动驾驶,19883,42,2020-10-21 10:22:03,03:22,73,https://www.bilibili.com/video/BV18t4y1i7jT
26,微软最新推出的JavaScript实战教学【鱼C字幕组翻译中】,35035,81,2020-10-16 09:33:57,266:21,52,https://www.bilibili.com/video/BV18a4y1L7kD
27,云计算界中顶流Rap歌曲【你想成为rapstar吗】,5941,34,2020-10-15 15:30:43,06:11,16,https://www.bilibili.com/video/BV1NA411E7wx
28,如何制作一款电子游戏??,36039,91,2020-10-12 17:43:03,03:17,336,https://www.bilibili.com/video/BV1vv411k7uy
29,天使 || 恶魔 之眼？？,8308,43,2020-09-20 21:57:52,00:33,4,https://www.bilibili.com/video/BV1o5411L71L
