"id","title","up_name","mid","url","bfl","plsl","dt","length","dmsl","tags","comments","yn","created","modified"
1,如何高效地在网上找开源项目做！在职程序员实际演示一波视频教程操作,CodeSheep,384068749,https://www.bilibili.com/video/BV1yJ411S7Wu,603331,573,"2019-11-14 18:15:33","08:24",1294,校园vlog|vlog|科普|我的学习日记|生活|教育|校园|学习|科技|教程|记录,"in:name example		名字中有“example”
in:readme example		readme中有“example”
in:description example	描述中有“example”

stars:&gt;1000		star&gt;1000
forks:&gt;1000		fork&gt;1000
pushed:&gt;2019-09-01		2019年9月1日后有更新的

language:java		用Java编写的项目
[2233娘_大笑]|好了我知道了，那你能帮帮我么？[doge]|不穿个保姆装？[害羞][害羞]",1,"2021-02-09 09:56:24.0",
2,必读计算机编程好书推荐！程序员小伙搬出了他的书架！,CodeSheep,384068749,https://www.bilibili.com/video/BV1kJ411W7pi,384109,1091,"2019-12-26 18:10:23","10:38",2059,编程|科普|生活|学习|VLOG|大学|校园|教程|读书分享|全能打卡挑战,"总结：
第一：《C Primer Plus》(第5版）中文版  买新版  
第二：《C++Primer》中文版
第三：《C++ Primer Plus》 比第二更适合零基础
第四：《Java编程思想》
第五：《Java核心技术》卷1卷2
第六：《Python核心编程》
第七：《Python编程从入门到实战》
第八：《Go语言实战》 or《Go In Action》
第九：《算法导论》 不适合初学者
第十：《算法》第四版 红色 
第十一：《TCP/IP详解》
第十二：《计算机网络 自顶向下》
第十三：《私房菜》  工具书
第十四：《Unix环境高级编程》
第十五：《Spring实战》
第十六：《Spring Boot实战》
第十七：《Spring技术内幕》 很难
第十八：《MySQL必知必会》   涵盖 《SQL必知必会》的内容
第十九：《高性能MySQL》  
第二十：《重构 改善既有代码的设计》 需要一些经验，拔高内容
[微笑][微笑][微笑]|搞IT，要看什么书?
很多年轻人打算搞IT，问要看什么书，以下是比较专业的回答：
第一阶段：《数据结构》《软件工程》《C语言》《C++》《C#》《PHP》《Java》《设计模式》《框架》
第二阶段：《莫生气》《佛教》《道》《来自》《思想与政治》《论持久战》
第三阶段：《脊椎匡扶指南》《腰间盘突出康复指南》《心脏病的预防与防止》《高血压降压宝典》《强迫症的自我恢复》
第四阶段：《迷恋》《谢谢你折磨我》《自私与贪婪》《走向奴役之路》
第五阶段：《活着》
第六阶段：《棺材的质量与选材》《墓地的风水与选择》《死后的思想》
第七阶段：《中国传统丧葬礼仪概述》
第八阶段：《论投胎的方法与技巧》
第十阶段：《论出生后如何不成为程序员》|想学-&gt;找书-&gt;书买回来-&gt;放在那-&gt;落灰-&gt;想学",1,"2021-02-09 09:56:24.0",
3,想做C语言/C++开发?这些才是你该学的东西！C语言/C++直通企业级开发的详细学习路线,CodeSheep,384068749,https://www.bilibili.com/video/BV1G7411K7j2,394909,1211,"2020-02-26 18:52:38","14:40",2323,校园vlog|编程|程序员|vlog|知识分享官|C++|学习|校园|C语言|教程|行业知识,"?哥 课代表来了[呲牙]
学习编程的基础四大件
数据结构和算法 学完之后要刷leetcode（剑指offer）

计算机网络 tcp/ip 协议栈（tcp/ip详解）

操作系统 进程和线程 并发 和锁 内存分布调度等等 （深入理解操作系统）

设计模式 单例 工厂 代理 策略模式 模版方法（大话设计模式）

实践
Linux操作系统掌握 shell编程 脚本等等
编译/调试工具 Linux平台上 gcc 以及makefile（跟我一起写makefile）要会写 gdb调试工具

Linux系统编程  ！
多线程编程 网络编程（unix环境高级编程）（Linux高性能服务器编程）（posix多线程程序设计）|推荐书籍: 
C： C Primer Plus,  C和指针，C专家编程
C++：有专门的视频
基础四大件：
数据结构和算法：大话数据结构，剑指offer，刷题。
计算机网络：TCP/IP详解
操作系统：深入理解操作系统
设计模式：大话设计模式
应用与编程实践：
Linux：鸟哥的Linux私房菜 或 Linux就该这么学
编译和调试工具材料：英语好的看GNU官方关于GCC和GDB的官方文档。中文版《debugging with gdb》,跟我一起写makefile
Linux的环境编程：Unix环境高级编程 ，Linux高性能服务器编程，POSIX多线程程序设计|二  基础四大件：
1.数据结构与算法 《大话数据结构》c/c++  ，《算法第四版》 java ，《剑指offer》
2.计算机网络《tcp/ip详解》
3.操作系统  《深入理解操作系统》
4.设计模式 《大话设计模式》
三 应用于编程
1.linux使用
《linux就该这么学》
2.编译和调试
GUN官方GCC和GDB文档
《debugging  with gdb 》中文版
《跟我一起写makefile》陈皓
3.linux环境编程
《unix环境高级编程》
《linux高性能服务器编程》
《posix多线程程序设计》",1,"2021-02-09 09:56:25.0",
4,【建议收藏】按这个学，找工作没问题！Java后端开发详细学习路线视频教程，串起Java后端开发几乎所有主流技术,CodeSheep,384068749,https://www.bilibili.com/video/BV1GQ4y1N7HD,230934,973,"2020-05-09 18:55:52","23:57",2490,编程|程序员|科普|知识分享官|科技|学习|校园|大学|IT|教程,"第一次当课代表[奋斗][奋斗]
## 编程基础（掌握）
### JAVA语法
#### Java基础

####  JVM
- 类加载机制
- 字节码执行机制
- JVM内存模型
- GC垃圾回收
- JVM性能监控与故障定位
- JVM调优

#### 多线程
- 并发编程的基础
- 线程池
- 锁
- 并发容器
- 原子类
- JUC并发工具类### 数据结构和算法
#### 数据结构
- 字符串
- 数组
- 链表
- 堆、栈、队列
- 二叉树
- 哈希
- 图

#### 算法
- 排序
- 查找
- 贪心
- 分治
- 动态规划
- 回溯### 计算机网络
- ARP协议
- IP、ICMP协议
- TCP、UDP协议
- DNS、HTTP/HTTPS协议
- Session/Cookie### MySQL数据库
- SQL语句的书写
- SQL语句的优化
- 事务、隔离级别
- 索引
- 锁### 操作系统
- 进程、线程
- 并发、锁
- 内存管理和调度
- I/O原理### 设计模式
- 单例
- 工厂
- 代理
- 策略
- 模板方法
- 观察者
- 适配器
- 责任链
- 建造者|建议标题改成:java劝退视频[doge]|我怎么不是在大一的时候看到这个呀……",1,"2021-02-09 09:56:27.0",
5,"亲历分享:自学编程的致命误区,你中招了没?在职程序员聊聊自学时如何防止入坑",CodeSheep,384068749,https://www.bilibili.com/video/BV1nJ41127VP,640070,1330,"2019-11-21 18:15:45","09:19",3416,校园vlog|编程|vlog|科普|学习|好奇心计划|教育|校园|科技|生活|教程,"1.基础很重要，不要盲目追赶“时髦”“热点”技术；
2.想学最好的语言？语言就没有好坏之分，只有适合和不适合（是否适合自己，以及是否适合要干的工作）；
3.不要孤军奋战，敢于分享，不要封闭；
4.要多写而不是只看，不用刻意去记，分清学习的重点，写的多了，该懂得就懂了；
5.不要怀疑自己，不要怀疑自己，不要怀疑自己！！注意拓展眼界；
6.学习资源在精不在多，精简的资源更利于学习（要规划好学习路线）；
7.多学多用，多记录、多思考；
8.不用担心专业不对口。|1：打好基础，搞好基础概念，理清学习路线，不要盲目追求新技术。 
2：语言选择不分好坏。看兴趣，岗位，用途。
3：拒绝封闭式学习。封闭，问题积累多，学习困难。敢于分享和交流，发现并解决问题。
4：代码不是用来记忆的，而是练习，思考出来的。要记的是设计编码的套路模式。
5：后期经常自我怀疑。积累经验，时间长了就好，没到拼天分智商环节
6：到处收集资料，但从来不看。资源在精而不在多。确定路线。
7：学了就忘。要经常用，需求驱动，记录，总结，思考，回顾，写博客笔记。
8：转行编程。编程门槛低，不用自我怀疑。

ps.下面几条共勉。
1：不要急于求成，慢慢来。
2：不要什么都想学，学着这个，想着那个。结果什么都学不会
3：坚持，|我虽然是计算机专业，但是接触java很晚，前段时间也面试了很多java开发实习，最大的感受就是基础最重要，计算机网络，数据结构算法，操作系统，数据库，java的基础，这些东西问的占大部分。其实框架这种东西，稍微了解一下，自己跟着做一个Demo小小的项目就差不多了。感觉在接触框架的时候最大的收获是了解了很多设计模式。自己现在也还在努力学习中，但是如果你比我更迷茫，欢迎交流一起进步[喜极而泣]",1,"2021-02-09 09:56:28.0",
6,视频演示如何玩转一个开源项目 |如何运行+如何读代码 |顺便讲讲IDEA和Spring Boot |Java/Python/C语言/C++项目均适用 |视频教程,CodeSheep,384068749,https://www.bilibili.com/video/BV1y4411p74E,172392,616,"2019-05-28 18:05:29","43:17",1421,校园vlog|编程|程序员|vlog|创作新秀奖|全勤挑战|学习|校园|视频教程|研究生|JAVA|互联网,"羊哥真是手把手宠爱粉丝[害羞][害羞]|在哔站，你甚至可以找到一个带你写项目的老大|导入完Halo项目后报大量错误的需要安装lombok插件在idea中,不是安装完插件就完事了，还需要我们在Settings设置页面，我们点击Build，Execution，Deployment--&gt;选择Compiler--&gt;选中Annotation Processors，然后在右侧勾选Enable annotation processing即可。不然依旧一大堆错误
具体参见:https://jingyan.baidu.com/article/0a52e3f4e53ca1bf63ed725c.html",1,"2021-02-09 09:56:29.0",
7,项目下载、运行、配置、构建、打包、部署：全步骤实战演示。前后端分离式项目实战部署（含nginx、tomcat部署配置）视频教程,CodeSheep,384068749,https://www.bilibili.com/video/BV1uK411p7Bp,169806,582,"2020-06-10 17:47:40","39:53",1222,计算机|编程|程序员|科普|知识分享官|校园|大学|学习|知识|教程,肉眼可见的秃头|我刚从导师那接到项目任务，分配给我的任务是前端 用vue.js。此外需要部署xshell和xftp。我的任务是做论坛自定义页面。 然后我的情况是：我以前是用c的，擅长的也是玩OpenGL库和计算机图形学的相关，然后接受这个项目任务（毕竟导师命令），我要在20天内学习vue.js代码并在一个月后提交项目需求。我现在有点懵，我关心的是做网页好玩么？可能我个人喜欢算法的实现，所以我还有机会问问老师把我调后端去（那就要学springboot了）。亦或是 不管喜不喜欢，做好本职，安心做前端 单纯的把这次项目任务当成一次经验积累。|羊哥老保姆了哈哈哈,1,"2021-02-09 09:56:29.0",
8,自学C/C++的书籍推荐（自学C/C++看书路线推荐）（我自己读过的一部分有关C/C++开发相关的书籍）| 科普视频教程,CodeSheep,384068749,https://www.bilibili.com/video/BV1ob411m76i,205913,767,"2019-02-13 18:10:51","19:49",1089,计算机|程序员|学习|校园|教学|C语言|应届生|自学编程|数据结构和算法|自学C/C++书籍推荐,"看书顺序由浅到深
第一本  Essential C++   (由c过度到c++）
第二本  C++ Primer第四版 (内容很全，但是不深）
第三本  Effeetive C++
第四本  More Effeetive C++
第五本  C++  标准程序库
第六本  深入探索C++对象模型 
 欢迎补充|你不学习一下c++，你都不知道自己的脑子原来就是个摆设。|推荐《c++ primer plus》，附电子版https://vdisk.weibo.com/s/7dCDbdo9ME8mG",1,"2021-02-09 09:56:30.0",
9,Java软件开发利器：IDEA插件分享!以Spring Boot项目为载体进行视频教程演示,CodeSheep,384068749,https://www.bilibili.com/video/BV1XE411K7Fz,142968,638,"2020-03-12 18:15:51","16:28",1021,编程|程序员|科普|知识分享官|视频教程|校园|学习|教程|VLOG|科技,"本次实验所有安装包均放在公众号CodeSheep里，小伙伴们直接回复 “IDEA” 就会自动发给你，我就不一一回了哦。
视频导航：
1. Background Image Plus：2分30秒
2. CodeGlance：3分40秒
3. Translation：4分18秒
4. Rainbow Brackets：5分33秒
5. Grep Console：6分36秒
6. Statistic：9分10秒
7. Markdown Navigator：10分19秒
8. RestfulToolkit：11分18秒
9. GsonFormat：12分49秒
10. MyBatis Log Plugin：13分59秒
11. Free Mybatis plugin：15分21秒|第一次做课代表[滑稽]
1 Background Image Plus
2 CodeGlance: vscod右侧代码地图
3 Translation
4 Rainbow Brackets: 彩虹色括号
5 Grep Console: 日志着色控制台显示
6 Statistic: 代码统计
7 Markdown Navigator
8 RestfulToolkit: 快速定位controller层接口、接口测试
9 GsonFormat: Json转Java类
10 Mybatis Log Plugin: 快速打印SQL语句
11 Free Mybatis Plugin: mybatis xml id与接口间跳转
个人觉得其他好用的插件：
1 Material Theme UI: 美化
2 Lombok: 省掉手动set/get方法
3 Alibaba Java Coding Guidelines: 阿里巴巴开发规范
4 Easy Code: 数据库表生成JavaBean
5 JRebel for IntelliJ: JavaWeb项目热部署
6 Key Promoter X: 快捷键提示
7 .ignore: 生成git ignore文件
视频中SpringBoot项目https://github.com/WuJunJie521/RuoYi|补充几个特别好用的！
1.SonarLint 帮助你扫描代码的问题，例如 性能，安全和重复问题。新手必备！显著提升代码质量！
2.maven helpler 更好的进行依赖管理
3.mybatis pro 付费，但是可以有其他办法用[doge]
4.color themes 有各种好看的主题，推荐sublime 3主题",1,"2021-02-09 09:56:31.0",
10,"项目大分享：项目经验,练手,毕设私活参考都不愁了",CodeSheep,384068749,https://www.bilibili.com/video/BV19Z4y1H728,113194,341,"2020-06-18 18:15:57","09:20",292,计算机|编程|程序员|科普|知识分享官|知识|校园|教程|大学|学习,"后台管理项目-JeeSite(ssm项目)https://gitee.com/thinkgem/jeesite?_from=gitee_search
商城类项目-微同商城(微信小程序)https://gitee.com/fuyang_lipengjun/platform?_from=gitee_search
秒杀类项目-spring-boot-seckill(秒杀案例合集)https://gitee.com/52itstyle/spring-boot-seckill?_from=gitee_search
支付类项目-roncoo-pay(详细)https://gitee.com/roncoocom/roncoo-pay?_from=gitee_search
综合平台类项目-Cloud-Platform(脚手架)https://gitee.com/geek_qi/cloud-platform?_from=gitee_search|羊哥我有几个问题想问一下:
1.目前大三，暑期实习处处碰壁。秋招投大厂的时候没有实习经验会直接被刷吗？
2.我自己写完了一个博客系统，是否可以作为项目经验写到简历上？
3.简历太过空白是否可以将平时一些课设也写上去？
希望羊哥能够解答[保佑]感激不尽|项目拿来练手该怎么练，是从零跟着他敲一遍吗",1,"2021-02-09 09:56:33.0",
